

('Nike Men Blue T20 Indian Cricket Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/1.jpg', 10, 'nike-men-blue-t20-indian-cricket-jersey'),
('Domyos Men Good Stroke Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Spring', 'Nam', 'Áo', '11', '20', 'upload/21.jpg', 10, 'domyos-men-good-stroke-black-t-shirt'),
('Reebok Men Hoops Athletic Navy Sweatshirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/22.jpg', 10, 'reebok-men-hoops-athletic-navy-sweatshirt'),
('Reebok Orange & White Striped Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/23.jpg', 10, 'reebok-orange-white-striped-polo-t-shirt'),
('Reebok Men White Polo Tshirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/24.jpg', 10, 'reebok-men-white-polo-tshirt'),
('Reebok T-shirt White Polo Tshirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/25.jpg', 10, 'reebok-t-shirt-white-polo-tshirt'),
('Reebok Men Navy Blue Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/26.jpg', 10, 'reebok-men-navy-blue-polo-t-shirt'),
('Reebok Mens Shoot White T-Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/27.jpg', 10, 'reebok-mens-shoot-white-t-shirt'),
('Reebok Men Shoot T-Shirt Red', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/28.jpg', 10, 'reebok-men-shoot-t-shirt-red'),
('Reebok Navy Knit Rib Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/29.jpg', 10, 'reebok-navy-knit-rib-jacket'),
('Domyos Men Quick Dry T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/30.jpg', 10, 'domyos-men-quick-dry-t-shirt'),
('Kipsta Men Loose Fit Round Neck Jersey Red', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/31.jpg', 10, 'kipsta-men-loose-fit-round-neck-jersey-red'),
('Kipsta Men Loose Fit Round Neck Jersey Black', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/32.jpg', 10, 'kipsta-men-loose-fit-round-neck-jersey-black'),
('Nike Men Windrunner Blue Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/33.jpg', 10, 'nike-men-windrunner-blue-jacket'),
('Nike Men Blue Windrunner Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/34.jpg', 10, 'nike-men-blue-windrunner-jacket'),
('Reebok Men Playdry Full Sleeved T-shirt Red', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/35.jpg', 10, 'reebok-men-playdry-full-sleeved-t-shirt-red'),
('Reebok Men Green Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/36.jpg', 10, 'reebok-men-green-polo-t-shirt'),
('Reebok Men Black Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/37.jpg', 10, 'reebok-men-black-polo-t-shirt'),
('Reebok Mens Lagoon Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/38.jpg', 10, 'reebok-mens-lagoon-black-t-shirt'),
('Reebok Men Play Hard Cotton Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/39.jpg', 10, 'reebok-men-play-hard-cotton-green-t-shirt'),
('Reebok Men Blue Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/40.jpg', 10, 'reebok-men-blue-polo-t-shirt'),
('Lotto Men Red Epic T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/41.jpg', 10, 'lotto-men-red-epic-t-shirt'),
('Lotto Men Marcello Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/42.jpg', 10, 'lotto-men-marcello-black-t-shirt'),
('Lotto Men Jasper Street Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/43.jpg', 10, 'lotto-men-jasper-street-red-t-shirt'),
('Lotto Men White Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/44.jpg', 10, 'lotto-men-white-polo-t-shirt'),
('Lotto Men Polo Slate Black Rugby T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/45.jpg', 10, 'lotto-men-polo-slate-black-rugby-t-shirt'),
('Lotto Men White Collared Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/46.jpg', 10, 'lotto-men-white-collared-jacket'),
('Lotto Men Epic Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/47.jpg', 10, 'lotto-men-epic-grey-t-shirt'),
('Lotto Men Marcello White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/48.jpg', 10, 'lotto-men-marcello-white-t-shirt'),
('Inesis Men Blue Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/49.jpg', 10, 'inesis-men-blue-polo-t-shirt'),
('Domyos Men Performance Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/50.jpg', 10, 'domyos-men-performance-blue-t-shirt'),
('Domyos Men Slt Compression T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/51.jpg', 10, 'domyos-men-slt-compression-t-shirt'),
('Quechua Men G1 Techfresh Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/52.jpg', 10, 'quechua-men-g1-techfresh-red-t-shirt'),
('Tribord Profilter Red Men T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/53.jpg', 10, 'tribord-profilter-red-men-t-shirt'),
('Solognac Men Orange T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Orange', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/54.jpg', 10, 'solognac-men-orange-t-shirt'),
('Solognac Men Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/55.jpg', 10, 'solognac-men-green-t-shirt'),
('Solognac Men Dark Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/56.jpg', 10, 'solognac-men-dark-blue-t-shirt'),
('Solognac Men Chocolate Brown  T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Brown', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/57.jpg', 10, 'solognac-men-chocolate-brown-t-shirt'),
('Inkfruit Mens D day T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/58.jpg', 10, 'inkfruit-mens-d-day-t-shirt'),
('Inkfruit Mens Surfer T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/59.jpg', 10, 'inkfruit-mens-surfer-t-shirt'),
('Inkfruit Men Buddha Bless You T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/60.jpg', 10, 'inkfruit-men-buddha-bless-you-t-shirt'),
('Inkfruit Mens Messy T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/61.jpg', 10, 'inkfruit-mens-messy-t-shirt'),
('Inkfruit Men Wolf', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/62.jpg', 10, 'inkfruit-men-wolf'),
('Inkfruit Mens Unbreakable Mumbai T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/63.jpg', 10, 'inkfruit-mens-unbreakable-mumbai-t-shirt'),
('Inkfruit Men Ride It Or Die T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/64.jpg', 10, 'inkfruit-men-ride-it-or-die-t-shirt'),
('Inkfruit Mens Little Bit More T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/65.jpg', 10, 'inkfruit-mens-little-bit-more-t-shirt'),
('Inkfruit Mens Pencho T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/66.jpg', 10, 'inkfruit-mens-pencho-t-shirt'),
('Inkfruit Mens Chain Reaction T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/67.jpg', 10, 'inkfruit-mens-chain-reaction-t-shirt'),
('Inkfruit Men Rebel Without a Clue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/68.jpg', 10, 'inkfruit-men-rebel-without-a-clue-t-shirt'),
('Inkfruit Mens Life After Midnight T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/69.jpg', 10, 'inkfruit-mens-life-after-midnight-t-shirt'),
('Inkfruit Men Eye Opener T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/70.jpg', 10, 'inkfruit-men-eye-opener-t-shirt'),
('Inkfruit Mens Shiva T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/71.jpg', 10, 'inkfruit-mens-shiva-t-shirt'),
('Inkfruit Men Graff Wars T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/72.jpg', 10, 'inkfruit-men-graff-wars-t-shirt'),
('Inkfruit Mens Urban Warfare T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/73.jpg', 10, 'inkfruit-mens-urban-warfare-t-shirt'),
('Inkfruit Men Night Wolf T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/74.jpg', 10, 'inkfruit-men-night-wolf-t-shirt'),
('Inkfruit Men Operation Kick', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/75.jpg', 10, 'inkfruit-men-operation-kick'),
('Inkfruit Mens My Pet T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Maroon', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/76.jpg', 10, 'inkfruit-mens-my-pet-t-shirt'),
('Inkfruit Men Nayak Nahi T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/77.jpg', 10, 'inkfruit-men-nayak-nahi-t-shirt'),
('Inkfruit Mens Facebook Like T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/78.jpg', 10, 'inkfruit-mens-facebook-like-t-shirt'),
('FIFA Mens 1904 Navy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/79.jpg', 10, 'fifa-mens-1904-navy-blue-t-shirt'),
('FIFA Mens 1990 World Cup Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/80.jpg', 10, 'fifa-mens-1990-world-cup-black-t-shirt'),
('FIFA Mens 1990 World Cup White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/81.jpg', 10, 'fifa-mens-1990-world-cup-white-t-shirt'),
('FIFA Mens 1962 World Cup White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/82.jpg', 10, 'fifa-mens-1962-world-cup-white-t-shirt'),
('FIFA Mens 1990 World Cup Edition T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/83.jpg', 10, 'fifa-mens-1990-world-cup-edition-t-shirt'),
('FIFA Mens Mexican Wave White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/84.jpg', 10, 'fifa-mens-mexican-wave-white-t-shirt'),
('FIFA Mens Mexican Wave Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/85.jpg', 10, 'fifa-mens-mexican-wave-grey-t-shirt'),
('FIFA Mens 1982 Spain Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/86.jpg', 10, 'fifa-mens-1982-spain-red-t-shirt'),
('FIFA Mens World Cup Champions Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/87.jpg', 10, 'fifa-mens-world-cup-champions-black-t-shirt'),
('FIFA Mens France 1938 Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/88.jpg', 10, 'fifa-mens-france-1938-grey-t-shirt'),
('FIFA Mens Code Collection Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/89.jpg', 10, 'fifa-mens-code-collection-red-t-shirt'),
('FIFA Mens Red Card Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/90.jpg', 10, 'fifa-mens-red-card-grey-t-shirt'),
('FIFA Mens Essentials Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/91.jpg', 10, 'fifa-mens-essentials-green-t-shirt'),
('FIFA Mens Essentials Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/92.jpg', 10, 'fifa-mens-essentials-black-t-shirt'),
('Fifa Men Essentials Navy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/93.jpg', 10, 'fifa-men-essentials-navy-blue-t-shirt'),
('FIFA Mens Essentials Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/94.jpg', 10, 'fifa-mens-essentials-red-t-shirt'),
('FIFA Mens Essentials White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/95.jpg', 10, 'fifa-mens-essentials-white-t-shirt'),
('FIFA Men Full Sleeves Hoody Sweatshirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/96.jpg', 10, 'fifa-men-full-sleeves-hoody-sweatshirt'),
('FIFA Men Full Sleeves Hoody Sweatshirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/97.jpg', 10, 'fifa-men-full-sleeves-hoody-sweatshirt'),
('FIFA Men Germany Blue Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/98.jpg', 10, 'fifa-men-germany-blue-jersey'),
('FIFA Men Blue Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/99.jpg', 10, 'fifa-men-blue-jersey'),
('FIFA Men Brazil Yellow Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/100.jpg', 10, 'fifa-men-brazil-yellow-jersey'),
('FIFA Men Brazil Blue & Yellow Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/101.jpg', 10, 'fifa-men-brazil-blue-yellow-jersey'),
('FIFA Mens 1904 Football Federation T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/102.jpg', 10, 'fifa-mens-1904-football-federation-t-shirt'),
('FIFA Mens 1905 Football Federation T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Cream', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/103.jpg', 10, 'fifa-mens-1905-football-federation-t-shirt'),
('Nike Mens Classic Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/104.jpg', 10, 'nike-mens-classic-black-t-shirt'),
('Nike Mens Classic Sportswear T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/105.jpg', 10, 'nike-mens-classic-sportswear-t-shirt'),
('Nike Mens Classic Patterned T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/106.jpg', 10, 'nike-mens-classic-patterned-t-shirt'),
('Nike Mens Manchester United Blues T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/107.jpg', 10, 'nike-mens-manchester-united-blues-t-shirt'),
('Nike Mens Running White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/108.jpg', 10, 'nike-mens-running-white-t-shirt'),
('Nike Mens Seize Victory Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/109.jpg', 10, 'nike-mens-seize-victory-black-t-shirt'),
('Puma Mens Slim Fit Black Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/110.jpg', 10, 'puma-mens-slim-fit-black-polo-t-shirt'),
('Puma Mens Racing White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/111.jpg', 10, 'puma-mens-racing-white-t-shirt'),
('Puma Mens Ocean Racing Blues T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/112.jpg', 10, 'puma-mens-ocean-racing-blues-t-shirt'),
('Puma Mens One Love T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/113.jpg', 10, 'puma-mens-one-love-t-shirt'),
('Puma Mens Jamaica Jam Navy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/114.jpg', 10, 'puma-mens-jamaica-jam-navy-blue-t-shirt'),
('Puma Mens Jamaica Jam Blues T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/115.jpg', 10, 'puma-mens-jamaica-jam-blues-t-shirt'),
('Puma Mens Reggae All Night White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/116.jpg', 10, 'puma-mens-reggae-all-night-white-t-shirt'),
('Puma Mens Reggae All Night Blues T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/117.jpg', 10, 'puma-mens-reggae-all-night-blues-t-shirt'),
('Puma Mens Reggae All Night Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/118.jpg', 10, 'puma-mens-reggae-all-night-green-t-shirt'),
('Puma Mens One Love Reggae Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/119.jpg', 10, 'puma-mens-one-love-reggae-polo-t-shirt'),
('Puma Mens Cricket Way of Life T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/120.jpg', 10, 'puma-mens-cricket-way-of-life-t-shirt'),
('Puma Mens Keyboard Sidebar Black Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/121.jpg', 10, 'puma-mens-keyboard-sidebar-black-polo-t-shirt'),
('Puma Mens Keyboard Sidebar White Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/122.jpg', 10, 'puma-mens-keyboard-sidebar-white-polo-t-shirt'),
